state,yr,hcci_hl_cat,spend_pm,oop_pm,adj_price,adj_util_1k,price,util_1k,case_mix_index,spend_annual,oop_annual,util_annual,adj_util_annual,price_annual,adj_price_annual,case_mix_annual,spend_cmltv,oop_cmltv,util_cmltv,adj_util_cmltv,price_cmltv,adj_price_cmltv,case_mix_cmltv
AK,2013,IP,1198.83984375,63.32648849487305,22959.975,52.21434,22959.975,52.21434,1,,,,,,,,0,0,0,0,0,0,0
AK,2014,IP,1186.29150390625,38.76758575439453,24733.646,47.962662,26428.35,44.887081,1.0685182,-.010467069,-.38781407,-.1403303891420364,-.0814274102449417,.1510618031024933,.077250599861145,.0685181617736816,-.010467069,-.38781407,-.1403303891420364,-.0814274102449417,.1510618031024933,.077250599861145,.0685181617736816
AK,2015,IP,1305.0224609375,44.92083740234375,27731.297,47.059551,30499.98,42.787647,1.0998397,.10008582,.15872157,-.046771451830864,-.0188294500112534,.1540630012750626,.1211972683668137,.0293130502104759,.088571146,-.29064697,-.1805383861064911,-.0987236276268959,.3283978402614594,.2078104317188263,.0998396873474121
AK,2016,IP,1332.072631835938,44.28818511962891,29592.762,45.013458,33385.145,39.900158,1.1281524,.020727744,-.014083715,-.0674841776490211,-.0434788018465042,.0945956036448479,.0671250522136688,.0257425550371408,.11113477,-.30063727,-.2358390837907791,-.1379100382328033,.454058438539505,.2888847887516022,.1281523704528809
AK,2017,IP,1198.546142578125,41.79626846313477,27774.156,43.153286,31319.863,38.267925,1.1276621,-.10023965,-.056265946,-.0409079231321812,-.0413248017430305,-.0618622824549675,-.0614544004201889,-.000434611341916,-.00024498784,-.33998758,-.2670993208885193,-.1735357344150543,.3641070425510407,.209677129983902,.1276620626449585
AL,2013,IP,829.8230590820313,56.35607147216797,13317.899,62.308853,13317.899,62.308853,1,,,,,,,,0,0,0,0,0,0,0
AL,2014,IP,875.1539916992188,58.27130889892578,14295.306,61.219677,14701.491,59.528248,1.0284139,.054627229,.033984579,-.0446261689066887,-.0174802802503109,.1038896441459656,.0733904242515564,.0284138917922974,.054627229,.033984579,-.0446261689066887,-.0174802802503109,.1038896441459656,.0733904242515564,.0284138917922974
AL,2015,IP,855.9163208007813,56.36080169677734,14466.708,59.164555,14961.415,57.208248,1.0341963,-.02198204,-.032786414,-.0389730893075466,-.0335696376860142,.0176800992339849,.0119901141151786,.0056226057931781,.031444367,.000083934603,-.0818600356578827,-.0504631102085114,.1234065219759941,.0862604975700378,.0341962575912476
AL,2016,IP,991.7764282226563,59.46638870239258,15314.064,64.762451,16675.18,59.476204,1.0888801,.1587306,.055101894,.0396438613533974,.094615712761879,.1145456284284592,.0585728585720062,.0528756566345692,.19516614,.055190455,-.0454614236950874,.039377998560667,.2520878314971924,.1498858779668808,.0888800621032715
AL,2017,IP,934.1578369140625,61.63505554199219,15039.55,62.113419,16206.034,57.642593,1.0775611,-.058096349,.036468782,-.0308293141424656,-.0409038364887238,-.0281343590468168,-.0179256554692984,-.0103950127959251,.12573135,.09367197,-.0748891904950142,-.0031365458853543,.2168611288070679,.1292734146118164,.0775611400604248
