state,yr,hcci_hl_cat,spend_pm,oop_pm,adj_price,adj_util_1k,price,util_1k,case_mix_index,spend_annual,oop_annual,util_annual,adj_util_annual,price_annual,adj_price_annual,case_mix_annual,spend_cmltv,oop_cmltv,util_cmltv,adj_util_cmltv,price_cmltv,adj_price_cmltv,case_mix_cmltv
AK,2013,Total,6571.991211,1070.248074,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
AK,2014,Total,7060.131714,834.4399948,,,,,,0.074275889,-0.2203303,0.032347098,0.032205166,0.058925869,0.057143069,0.001368325,0.074275889,-0.2203303,0.032347098,0.032205166,0.058925869,0.057143069,0.001368325
AK,2015,Total,7706.014526,868.676712,,,,,,0.091483109,0.041029572,-0.002915477,0.009712782,0.095443957,0.081459684,0.012808653,0.17255399,-0.18834078,0.031350562,0.042799508,0.161690464,0.144226922,0.014371621
AK,2016,Total,7878.183716,912.6387787,,,,,,0.022342183,0.050608087,-0.026596042,-0.016476302,0.050286243,0.039278721,0.010586235,0.1987514,-0.14726426,0.006869199,0.027739105,0.221858282,0.190123431,0.025400952
AK,2017,Total,7468.747803,920.684185,,,,,,-0.051970851,0.008815543,-0.04085793,-0.030410121,-0.010920313,-0.021806986,0.011020946,0.13645127,-0.13974693,-0.032791908,-0.003963008,0.205263168,0.162243031,0.036075068
AL,2013,Total,4380.457703,879.601738,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
AL,2014,Total,4489.087402,891.2028885,,,,,,0.02479871,0.013189094,-0.018838279,-0.020985116,0.045319911,0.047130954,-0.00187208,0.02479871,0.013189094,-0.018838279,-0.020985116,0.045319911,0.047130954,-0.00187208
AL,2015,Total,4614.140015,936.4202194,,,,,,0.027857022,0.050737415,0.002027905,0.001972346,0.025861131,0.025874894,-1.33E-06,0.053346552,0.064595692,-0.016563896,-0.019057132,0.072223246,0.074262858,-0.001830254
AL,2016,Total,4982.371033,966.9988441,,,,,,0.079804905,0.032654811,0.007689954,0.028635536,0.072421742,0.050454685,0.021180311,0.13740878,0.099359863,-0.009545925,0.00859122,0.150552552,0.129049076,0.019961671
AL,2017,Total,5030.567139,988.5340271,,,,,,0.009673327,0.022270123,-0.012315255,-0.017129782,0.021736228,0.027190344,-0.004994276,0.1484113,0.12384274,-0.021893324,-0.009330231,0.174012985,0.160350548,0.015094345
AR,2013,Total,3911.104858,805.63097,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
AR,2014,Total,4019.654785,825.9652977,,,,,,0.027754286,0.02524025,-0.015327782,-0.008619567,0.045457294,0.038375409,0.007082017,0.027754286,0.02524025,-0.015327782,-0.008619567,0.045457294,0.038375409,0.007082017
AR,2015,Total,4160.760254,864.2103004,,,,,,0.035103876,0.046303403,-0.011834541,-0.011372792,0.047980273,0.047327933,0.000551614,0.063832447,0.072712362,-0.026630409,-0.019623797,0.096146796,0.088063477,0.007476851
AR,2016,Total,4453.12561,916.1981049,,,,,,0.07026729,0.060156427,0.01324745,0.030687673,0.056052806,0.038343533,0.017384903,0.13858508,0.1372429,-0.01362055,0.010505249,0.15892964,0.131567165,0.025035605
AR,2017,Total,4608.096313,947.4558029,,,,,,0.034800433,0.034116745,0.007981918,0.010147287,0.026365575,0.02439022,0.002602987,0.17820832,0.17604193,-0.004945762,0.02081121,0.189627033,0.159475746,0.027947266
AZ,2013,Total,4289.126221,783.581398,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
AZ,2014,Total,4325.102234,799.3213196,,,,,,0.008387726,0.020087156,-0.028090669,-0.027985094,0.039422091,0.039424058,0.000171497,0.008387726,0.020087156,-0.028090669,-0.027985094,0.039422091,0.039424058,0.000171497
