state,yr,hcci_hl_cat,spend_pm,oop_pm,adj_price,adj_util_1k,price,util_1k,case_mix_index,spend_annual,oop_annual,util_annual,adj_util_annual,price_annual,adj_price_annual,case_mix_annual,spend_cmltv,oop_cmltv,util_cmltv,adj_util_cmltv,price_cmltv,adj_price_cmltv,case_mix_cmltv
AK,2013,Total,6571.991211,1070.248074,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
AL,2013,Total,4380.457703,879.601738,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
AR,2013,Total,3911.104858,805.63097,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
AZ,2013,Total,4289.126221,783.581398,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
CA,2013,Total,4849.238281,568.9068756,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
CO,2013,Total,4833.79541,835.9616051,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
CT,2013,Total,5328.562012,825.7752304,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
DC,2013,Total,4473.715515,587.2185535,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
DE,2013,Total,5237.739502,765.5865364,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
FL,2013,Total,4987.103516,847.4266891,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
GA,2013,Total,4971.471313,1004.550072,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
HI,2013,Total,3132.473267,378.706152,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
IA,2013,Total,4456.274414,770.3334885,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
ID,2013,Total,4746.827332,823.3867493,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
IL,2013,Total,4804.727783,784.9412422,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
IN,2013,Total,5210.604614,884.7250404,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
KS,2013,Total,4367.477234,822.0569229,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
KY,2013,Total,4963.657104,815.8344536,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
LA,2013,Total,4958.033203,940.2781601,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
MA,2013,Total,4475.287598,683.5942307,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
MD,2013,Total,4289.899658,633.593338,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
ME,2013,Total,5096.324097,848.1870842,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
MI,2013,Total,4318.121338,738.9861717,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
MN,2013,Total,5192.434875,810.6662445,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
MO,2013,Total,4318.477417,793.4371567,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
MS,2013,Total,4732.851135,935.3131332,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
MT,2013,Total,4748.034729,797.0906868,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
NC,2013,Total,4861.832214,847.0162201,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
ND,2013,Total,4617.812073,824.8644943,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
NE,2013,Total,4929.858459,855.2434349,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
NH,2013,Total,5546.502991,797.5183182,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
NJ,2013,Total,5480.78302,779.9230194,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
NM,2013,Total,4592.203308,760.5652084,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
